OXIDANTES,,,,
K-2,HIPOCLORITO DE CALCIO (68-72%)Cl2,2,2,6
H-1,HYDROQUINONE,2,2,6
O-3,HIDROXIDO DE SODIO (análisis),2,4,2
BODEGA LAB,HIERRO METAL ( TUERCAS Y ARANDELAS ),2,2,9301
L-4,Indole 3 Acetic Potasio Sal,2,4,100
G-2,Iodoformo,2,4,500
M-3,Ioduro de Mercurio (II),2,4,150
L-5,Ioduro de Plata,2,4,35
L-2,Ioduro de Potasio,2,2,1000
P-3,Ioduro de Sodio,2,4,3450
bodega laboratorio,jabon liquido ( lavar cristaleria),2,1,41.6
E-1,Lactosa,2,2,6
K-1,Manganeso Test Solución 1,2,6,50,3,50
K-1,Manganeso y Magnesio Test Solución 2,2,6,50
M-1,m-Cresol,2,3,250
M-3,Mercurio metalico,2,4,0
O-2,Metabisulfito de Sodio,2,4,500
G-2,Metoxi-4-benzaldehído,2,1,2
J-2,Molibdato de Amonio,2,2,1.1
J-1,Monovanadato de Amonio,2,4,0
A-1,Murexida,2,4,600
bod lab 3,maltosa,2,4,100
F-3,2-Naftol,2,4,0
C-2,Naftaleno,2,2,2
P-3,Nitrato de aluminio 9 H2O,2,4,500
P-3,Nitrato de bismuto (III) 5H2O,2,4,500
Q-8,Nitrato de Calcio tetrahidratado,2,2,4
Q-8,Nitrato de Calcio trihidratado,2,2,1
P-3,Nitrato de cobre (II) 3 H2O,2,2,2.6
N-1,Nitrato de hierro (III) 9 H2O,2,2,1
Q-7,Nitrato de Mercurio (I) dihidratado,2,4,0
Q-7,Nitrato de Mercurio (II) monohidratado,2,4,250
P-3,Nitrato de Níquel II 6H2O,2,2,0
L-5,Nitrato de Plata,2,2,0
Q-7,Nitrato de Plomo (II),2,2,8
Q-8,Nitrato de Potasio,2,2,5
P-3,Nitrato de Sodio,2,2,3
A-1,Nitrato reactivo-1,2,3,50
Q-7,Nitrito de Sodio,2,2,1.5
I-4,o-Anisidina,2,3,800
F-1,o-Anizaldehído,2,4,100
J-1,Oxalato de Amonio,2,2,1
L-4,Oxalato de Potasio monohidratado,2,2,1
O-1,Oxalato de Sodio,2,2,1
J-4,Óxido de Aluminio,2,4,1.5
J-5,Óxido de Aluminio 150 básico,2,2,1.8
J-5,Óxido de Aluminio 150 G neutro 150,2,4,150
J-5,Óxido de Aluminio 60 básico,2,2,1
J-4,Óxido de Aluminio 60 neutro,2,2,2.5
J-4,Óxido de Aluminio 90 activi ácido,2,4,900
J-4,Óxido de Aluminio 90 neutro,2,4,0
J-5,Óxido de Aluminio para Metalografía,2,2,1
K-2,Óxido de Calcio,2,2,2
K-5,Óxido de Cobre (II),2,2,1
N-2,Óxido de Hierro (III),2,2,8.8
I-1,Óxido de Magnesio,2,2,4.9
M-2,Óxido de Manganeso IV,2,4,143
M-2,Óxido de Molibdeno (VI),2,4,550
M-2,Óxido de Plomo (IV),2,4,250
I-3,Óxido de Silicio (IV),2,2,1.4
I-3,Óxido de Titanio (IV),2,2,1
N-3,Óxido de Zinc,2,2,2
I-5,OFTALEMINA,2,2,1
F-1,Parafina,2,2,1
M-1,Penta Clorofenol,2,2,2.25
F-3,Pentaclorofenol,2,4,500
M-2,Plomo en lámina,2,2,300
M-2,Plomo Granulado,2,2,0
P-3,Polvora negra,2,4,50
LAB. 3,P-CLOROANILINA,2,2,3.5
L-5,PLATA COLOIDAL,2,4,20
BODEGA LAB,PLOMO METAL ( ARANDELAS ),2,2,8200
F-3,Resorcina,2,4,250
B-2,Rojo Congo,2,4,250
B-1,Rojo de Metilo,2,4,135
bodega lab,rojo cresol,2,2,0.25
bodega lab,rojo clorofenol,2,2,0.5
bodega lab ,rojo fenol,2,2,0.1
bodega lab ,rojo brofenol,2,2,0
D-2,ROJO METILO,2,2,10
P-3,Sacarina Sódica,2,4,50
E-1,Sacarosa,2,2,12
A-1,Safranina,2,4,50
A-2,Safranina O,2,4,400
M-3,Sal de bario de difenilamina 4 sulfonico,2,4,0
O-3,Selenito de Sodio Pentahidratado,2,4,300
I-3,Sílica gel,2,4,5100
J-4,Sulfato de Aluminio,2,4,0
J-3,Sulfato de Amonio,2,2,1
J-3,Sulfato de Amonio y Cerio dihidratado,2,4,100
J-1,Sulfato de Amonio y Hierro (III) dodecahidratado,2,2,0
K-3,Sulfato de Calcio dihidratado,2,4,1
J-3,Sulfato de cerio (IV) tetrahidratado,2,4,2
K-4,Sulfato de Cobre (II),2,2,4
K-5,Sulfato de Cobre (II) pentahidratado,2,2,9.5
N-1,Sulfato de Hierro (II) heptahidratado,2,2,2.5
N-1,Sulfato de Hierro (III) hidratado,2,2,0.5
O-3,Sulfato de hierro II y amonio,2,2,1.5
I-1,Sulfato de Magnesio,2,2,1
I-1,Sulfato de Magnesio.7H2O,2,2,1.8
K-1,Sulfato de Manganeso (II),2,2,4
L-4,Sulfato de Níquel hexahidratado,2,4,400
O-3,Sulfato de Sodio Anhidro,2,2,3.5
